StudentID,CourseID,Progress,State
1,9,0,Sikkim
1,20,80,Karnataka
2,24,90,Kerala
2,13,70,Madhya Pradesh
2,10,50,Assam
2,23,80,Meghalaya
3,45,80,Odisha
4,30,50,Karnataka
4,26,70,Sikkim
4,5,70,Manipur
4,6,40,Uttarakhand
5,11,20,West Bengal.
5,13,90,Madhya Pradesh
5,14,20,Telangana
5,25,70,Tripura
6,10,0,Mizoram
6,45,40,Nagaland
6,27,100,Pradesh
6,29,30,Kerala
6,20,90,Tripura
7,28,80,Telangana
7,6,90,Kerala
7,3,90,Nagaland
8,37,60,Punjab
8,31,20,Uttarakhand
8,42,60,Pradesh
8,27,10,Goa
9,41,10,Chhattisgarh
9,4,80,Nagaland
10,15,100,Tamil Nadu
10,23,60,Madhya Pradesh
10,22,10,Goa
10,31,50,Uttar Pradesh
10,9,0,Tripura
11,44,40,Odisha
11,19,20,Pradesh
11,29,60,Madhya Pradesh
11,22,60,Goa
11,10,100,Goa
12,21,30,Karnataka
12,41,70,West Bengal.
12,31,30,Chhattisgarh
12,19,20,Sikkim
12,35,60,Meghalaya
13,27,70,Jharkhand
13,50,50,Karnataka
13,32,30,Madhya Pradesh
14,32,70,Haryana
14,21,40,Haryana
14,5,40,Uttarakhand
15,6,20,Odisha
16,40,80,Arunachal Pradesh
16,19,40,Manipur
16,18,60,Tamil Nadu
16,1,100,Nagaland
16,13,40,Nagaland
17,9,80,Manipur
17,5,20,Chhattisgarh
17,30,10,Andhra Pradesh
17,2,90,Himachal Pradesh
17,28,10,Nagaland
18,27,20,West Bengal.
18,15,60,Arunachal Pradesh
18,8,50,Sikkim
19,20,30,Gujarat
19,1,70,Uttarakhand
19,39,80,Assam
20,17,10,Rajasthan
20,23,100,Sikkim
20,7,30,Uttar Pradesh
20,4,30,Mizoram
20,23,50,Andhra Pradesh
21,28,90,Assam
21,36,80,Rajasthan
21,29,100,Manipur
21,30,30,Telangana
22,13,90,Himachal Pradesh
22,29,30,Madhya Pradesh
23,25,50,Maharashtra
23,4,90,Rajasthan
23,10,40,Rajasthan
24,14,40,Gujarat
25,49,60,Meghalaya
25,42,40,Uttar Pradesh
25,14,80,Tripura
26,41,80,Meghalaya
26,26,30,Meghalaya
26,36,60,Uttar Pradesh
27,16,30,Andhra Pradesh
27,20,30,Sikkim
27,5,80,Punjab
27,49,70,Kerala
27,8,30,Tripura
28,6,90,West Bengal.
28,1,80,Assam
28,29,90,Mizoram
29,37,80,Telangana
29,4,90,Karnataka
29,8,50,Nagaland
29,13,50,West Bengal.
29,5,80,Maharashtra
30,43,10,Jharkhand
30,6,10,Madhya Pradesh
31,45,100,Kerala
32,49,20,Meghalaya
32,36,10,Sikkim
32,46,80,Rajasthan
32,11,30,Punjab
32,50,100,Uttar Pradesh
33,30,100,Telangana
33,11,10,Madhya Pradesh
34,4,30,Andhra Pradesh
34,7,60,Mizoram
35,16,0,Madhya Pradesh
35,8,20,Uttarakhand
35,4,30,Odisha
35,38,30,Tripura
35,17,50,Bihar
36,1,40,Uttarakhand
37,33,50,Odisha
37,48,10,Goa
38,7,90,Gujarat
38,49,80,Maharashtra
38,5,90,Jharkhand
38,14,70,Uttar Pradesh
39,30,30,Meghalaya
39,34,100,Andhra Pradesh
39,47,50,Haryana
40,34,90,Chhattisgarh
40,28,30,Tripura
40,9,50,Assam
40,36,80,Chhattisgarh
40,21,100,Chhattisgarh
41,9,80,Tamil Nadu
41,31,0,Madhya Pradesh
42,35,90,Madhya Pradesh
42,34,50,Uttar Pradesh
43,49,60,Chhattisgarh
43,10,60,Sikkim
44,44,10,Bihar
45,25,30,Tamil Nadu
45,6,0,Jharkhand
46,14,20,Nagaland
46,6,90,Punjab
47,50,30,Arunachal Pradesh
47,47,10,Kerala
47,5,60,Telangana
47,43,30,Maharashtra
47,14,100,Kerala
48,14,30,Himachal Pradesh
48,43,10,Punjab
49,8,50,Chhattisgarh
49,9,20,Odisha
49,5,30,Himachal Pradesh
49,44,60,Sikkim
50,37,90,Uttarakhand
50,46,40,Gujarat
50,32,30,Andhra Pradesh
51,47,50,Nagaland
51,4,40,Gujarat
52,21,0,Bihar
52,50,100,Gujarat
52,17,20,Kerala
53,10,10,Punjab
53,47,60,Karnataka
53,43,40,Arunachal Pradesh
54,31,40,Gujarat
54,32,0,Meghalaya
54,36,70,Arunachal Pradesh
54,23,80,Mizoram
55,23,0,Maharashtra
55,47,100,Pradesh
55,11,80,Chhattisgarh
55,21,50,Jharkhand
55,34,40,Rajasthan
56,17,80,Madhya Pradesh
56,16,70,Maharashtra
57,45,20,Goa
58,13,10,Assam
59,7,50,Jharkhand
59,17,30,Manipur
59,25,30,Assam
59,17,20,Andhra Pradesh
59,1,70,Bihar
60,40,30,Gujarat
60,50,10,Pradesh
60,47,50,Sikkim
60,33,90,Manipur
61,29,70,Karnataka
62,37,30,Maharashtra
62,2,50,Chhattisgarh
62,17,0,Uttarakhand
63,13,30,Maharashtra
64,14,90,Tripura
64,31,50,Jharkhand
64,23,30,Nagaland
64,14,70,Kerala
65,49,90,Jharkhand
65,26,0,Manipur
65,7,10,Nagaland
66,43,20,Punjab
67,39,20,Pradesh
67,38,60,Arunachal Pradesh
67,21,20,Jharkhand
68,38,20,Sikkim
68,18,90,Goa
69,16,20,Madhya Pradesh
69,46,0,Manipur
69,2,100,Maharashtra
69,35,70,Uttar Pradesh
70,12,90,Gujarat
71,3,0,Tamil Nadu
71,20,60,Karnataka
71,33,60,Haryana
71,13,70,Madhya Pradesh
72,46,40,Chhattisgarh
72,27,30,Odisha
73,34,0,Pradesh
73,1,0,West Bengal.
73,20,0,Tripura
73,27,80,Odisha
