StudentID,State,Region,,,,,,,,,,,,,,,,
1,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
1,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
2,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
2,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
2,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
2,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
3,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
4,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
4,Manipur,EASTERN REGION,,,,,,,,,,,,,,,,
4,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
4,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
5,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
5,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
5,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
5,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
6,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
6,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
6,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
6,Chhattisgarh,NORTHERN REGION,,,,,,,,,,,,,,,,
6,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
7,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
7,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
7,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
8,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
8,Rajasthan,NORTHERN REGION,,,,,,,,,,,,,,,,
8,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
8,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
9,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
9,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
10,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
10,Kerala,SOUTHERN REGION,,,,,,,,,,,,,,,,
10,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
10,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
10,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
11,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
11,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
11,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
11,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
11,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
12,Meghalaya,EASTERN REGION,,,,,,,,,,,,,,,,
12,Jharkhand,EASTERN REGION,,,,,,,,,,,,,,,,
12,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
12,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
12,Nagaland,EASTERN REGION,,,,,,,,,,,,,,,,
13,Nagaland,EASTERN REGION,,,,,,,,,,,,,,,,
13,Sikkim,EASTERN REGION,,,,,,,,,,,,,,,,
13,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
14,Nagaland,EASTERN REGION,,,,,,,,,,,,,,,,
14,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
14,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
15,Haryana,NORTHERN REGION,,,,,,,,,,,,,,,,
16,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
16,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
16,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
16,Uttar Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
16,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
17,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
17,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
17,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
17,West Bengal,EASTERN REGION,,,,,,,,,,,,,,,,
17,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
18,Arunachal Pradesh,EASTERN REGION,,,,,,,,,,,,,,,,
18,Maharashtra,WESTERN REGION,,,,,,,,,,,,,,,,
18,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
19,Tripura,EASTERN REGION,,,,,,,,,,,,,,,,
19,Maharashtra,WESTERN REGION,,,,,,,,,,,,,,,,
19,West Bengal,EASTERN REGION,,,,,,,,,,,,,,,,
20,Telangana,SOUTHERN REGION,,,,,,,,,,,,,,,,
20,Uttaranchal ,NORTHERN REGION,,,,,,,,,,,,,,,,
20,Himachal Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
20,Madhya Pradesh,NORTHERN REGION,,,,,,,,,,,,,,,,
20,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
21,Andhra Pradesh,SOUTHERN REGION,,,,,,,,,,,,,,,,
21,Odisha,EASTERN REGION,,,,,,,,,,,,,,,,
21,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
21,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
22,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
22,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
23,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
23,Bihar,EASTERN REGION,,,,,,,,,,,,,,,,
23,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
24,Gujarat,WESTERN REGION,,,,,,,,,,,,,,,,
25,Mizoram,EASTERN REGION,,,,,,,,,,,,,,,,
25,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
25,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
26,Punjab,NORTHERN REGION,,,,,,,,,,,,,,,,
26,Karnataka,SOUTHERN REGION,,,,,,,,,,,,,,,,
26,Tamil Nadu,SOUTHERN REGION,,,,,,,,,,,,,,,,
27,Goa,WESTERN REGION,,,,,,,,,,,,,,,,
27,Assam,EASTERN REGION,,,,,,,,,,,,,,,,
